Site,Core_Number,Materials_volume_mL_start,Materials_volume_mL_end,SoilTray_InOven,SoilTray_OutOven,Weight_SoilTray,Weight_Tray
UP,1,79,87,12/2/21 16:15,12/4/21 19:25,191.4,12.5
UP,2,160,191,12/2/21 16:25,12/4/21 19:25,231.5,12.9
UP,3,70.5,77.5,12/2/21 17:15,12/4/21 19:25,289,14
UP,4,66,83.5,12/2/21 17:25,12/4/21 19:25,281.5,14.3
UP,5,72.5,92,12/3/21 14:10,12/4/21 19:25,309.5,16.8
UP,6,135,165,12/3/21 14:45,12/4/21 19:25,273.3,13.1
UP,7,184,217,12/3/21 14:45,12/4/21 19:25,308.1,14.4
UP,8,70,90.5,12/3/21 15:10,12/4/21 19:25,316.7,13.5
UP,9,95,133,12/3/21 15:30,12/4/21 19:25,267.8,17.4
UP,10,30.5,74,12/3/21 16:00,12/4/21 19:25,288.6,17.9