Sample_ID,Day,blank-corrected N-NH4 (mg per mL),blank-corrected N-NO3 (mg per mL),Site
DCN_H1,1,-0.052674317,0.027508158,UP
DCN_H1,30,0.439202546,10.8428031,UP
DCN_H2,1,0.947611683,0.550893825,UP
DCN_H2,30,0.583504746,4.9165629,UP
DCN_H3,1,0.090223683,0.008406492,UP
DCN_H3,30,0.828084746,3.086283,UP
DCN_H5,1,0.380863683,-0.055775108,UP
DCN_H5,30,0.256582813,0.0017301,UP
DCN_H6,1,0.50357835,0.155107292,UP
DCN_H6,30,1.099568546,3.6279372,UP
DCN_H8,1,-0.156820317,-0.068000175,UP
DCN_H8,30,0.490564346,-0.0174435,UP
DCN_P1,1,-0.225091517,-0.002548408,UP
DCN_P1,30,1.316191946,0.0598789,UP
DCN_P2,1,-0.174851917,0.051200425,UP
DCN_P2,30,1.103284679,0.1211513,UP
DCN_P3,1,-0.172381117,0.087610925,UP
DCN_P3,30,0.492896546,0.089056233,UP
DCN_P4,1,-0.152614717,0.252325092,UP
DCN_P4,30,0.350418679,0.3881239,UP
DCN_P6,1,-0.109787517,0.694452592,UP
DCN_P6,30,0.449181746,0.884138567,UP
DCN_P7,1,0.479910083,0.252325092,UP
DCN_P7,30,1.584147479,0.1474109,UP
FNN_H4,1,-0.027437517,0.200454258,UP
FNN_H4,30,0.905515346,0.1155192,UP
FNN_H5,1,0.664065783,0.063509758,UP
FNN_H5,30,0.451690546,0.0946522,UP
FNN_P4,1,-0.191402217,0.075959258,UP
FNN_P4,30,0.351722146,0.1125382,UP
FNN_P5,1,-0.255562317,0.011933258,UP
FNN_P5,30,0.956292946,0.0648422,UP
FNN_P6,1,0.077119683,0.133760508,UP
FNN_P6,30,0.909482346,0.4583342,UP
FNN_P7,1,0.036722583,0.090187258,UP
FNN_P7,30,0.814274346,0.1691772,UP
SCN_H1,1,0.221059183,0.208699825,UP
SCN_H1,30,2.064970946,1.075171033,UP
SCN_H7,1,0.240085183,0.402323825,UP
SCN_H7,30,1.273375746,0.169595033,UP
SCN_P1,1,0.506707583,0.032048758,UP
SCN_P1,30,0.259286096,0.047946367,UP
SCN_P7,1,0.166835733,0.192248225,UP
SCN_P7,30,0.468264446,0.1172337,UP
UPH_H2,1,0.152235033,0.051082358,UP
UPH_H2,30,1.035148246,0.250974367,UP
UPH_H3,1,-0.035140617,0.235073825,UP
UPH_H3,30,1.080787196,0.057614367,UP
UPH_H6,1,-0.218460517,0.033634892,UP
UPH_H6,30,0.433034379,0.0350557,UP
UPH_H8,1,-0.157987317,0.143841558,UP
UPH_H8,30,0.695658513,0.038278367,UP
UPH_P1,1,-0.186014517,-0.021879775,UP
UPH_P1,30,1.534774646,0.0543917,UP
UPH_P3,1,0.310409283,0.076460492,UP
UPH_P3,30,2.147297396,0.5522937,UP
UPH_P7,1,-0.033518317,0.106597025,UP
UPH_P7,30,0.231262179,0.052780367,UP
UPH_P8,1,-0.231438917,0.016187425,UP
UPH_P8,30,0.264890879,0.033444367,UP
FNN_H6,1,0.621292383,0.684206258,UP
FNN_H7,1,0.053356683,0.099079758,UP
FNN_H6,30,0.688123746,0.90026745,UP
FNN_H7,30,0.408846946,0.0499372,UP
UPH_V1,1,-0.179525317,0.101838625,UP
UPH_V2,1,0.181436433,0.262038092,UP
UPH_V3,1,0.013528383,0.022531958,UP
UPH_V4,1,0.102013183,0.120990092,UP
UPH_V5,1,0.706023183,0.297756425,UP
UPH_V6,1,-0.110979817,0.029873425,UP
UPH_V7,1,1.064455433,0.264954425,UP
UPH_V8,1,-0.145948817,-0.008395575,UP
UPH_V1,30,0.892626613,0.0205537,UP
UPH_V2,30,1.252934113,0.110788367,UP
UPH_V3,30,0.348161946,0.017331033,UP
UPH_V4,30,0.530443746,0.0602277,UP
UPH_V5,30,0.483524646,0.4374409,UP
UPH_V6,30,0.588688146,0.0711841,UP
UPH_V7,30,1.467207846,0.1494441,UP
UPH_V8,30,1.058688096,0.0179673,UP