Sample_ID,Rep,"Average 
% soil moist",Dry weight mass,"Dry Weight 
Equivalant Target",Actual Mass Fresh Soil,"Actual Dry Weight 
Equivalent",Rack,unique.id,Volume,IRGA_Date
DCN_H1,1,23.06,4,5.1985,6.7787,5.2158,1,43_1,9,8-Nov
DCN_H1,2,23.06,4,5.1985,6.7217,5.172,1,44_1,9,8-Nov
DCN_H2,1,23.93,4,5.2585,6.9411,5.2799,3,07_3,9.5,14-Nov
DCN_H2,2,23.93,4,5.2585,6.9113,5.2573,3,08_3,9,14-Nov
DCN_H3,1,24.03,4,5.2651,6.8865,5.2318,5,17_5,9,17-Nov
DCN_H3,2,24.03,4,5.2651,6.8763,5.224,5,18_5,9,17-Nov
DCN_H5,1,22.79,4,5.1807,6.7558,5.2161,1,31_1,8,8-Nov
DCN_H5,2,22.79,4,5.1807,6.7693,5.2265,1,32_1,8,8-Nov
DCN_H6,1,21.39,4,5.0882,6.4529,5.0728,2,25_2,8.5,8-Nov
DCN_H6,2,21.39,4,5.0882,6.4687,5.0852,2,26_2,8.5,8-Nov
DCN_H8,1,21.57,4,5.1001,6.5036,5.1008,5,09_5,8.5,17-Nov
DCN_H8,2,21.57,4,5.1001,6.5178,5.1119,5,10_5,8.5,17-Nov
DCN_P1,1,23.47,4,5.2265,6.8577,5.2484,5,07_5,8.5,17-Nov
DCN_P1,2,23.47,4,5.2265,6.8627,5.2523,5,08_5,8,17-Nov
DCN_P2,1,23.86,4,5.2533,6.9556,5.2961,5,01_5,8,17-Nov
DCN_P2,2,23.86,4,5.2533,6.9425,5.2862,5,02_5,8.5,17-Nov
DCN_P3,1,22.41,4,5.1554,6.6606,5.1679,1,47_1,8.5,8-Nov
DCN_P3,2,22.41,4,5.1554,6.6561,5.1644,1,48_1,8.5,8-Nov
DCN_P4,1,22.73,4,5.1764,6.6892,5.169,4,03_4,8.5,14-Nov
DCN_P4,2,22.73,4,5.1764,6.7171,5.1905,4,04_4,8.5,14-Nov
DCN_P6,1,23.46,4,5.2263,6.8368,5.2326,5,33_5,8,17-Nov
DCN_P6,2,23.46,4,5.2263,6.7911,5.1976,5,34_5,8.5,17-Nov
DCN_P7,1,23.27,4,5.2129,6.7922,5.2119,3,25_3,8,14-Nov
DCN_P7,2,23.27,4,5.2129,6.7985,5.2167,3,26_3,8.5,14-Nov
FNN_H4,1,23.76,4,5.2465,6.9017,5.262,6,11_6,8.5,17-Nov
FNN_H4,2,23.76,4,5.2465,6.8845,5.2489,6,12_6,9,17-Nov
FNN_H5,1,23.59,4,5.2346,6.8355,5.2233,6,05_6,8.5,17-Nov
FNN_H5,2,23.59,4,5.2346,6.8409,5.2274,6,06_6,8.5,17-Nov
FNN_H6,1,22.64,4,5.1709,6.7334,5.2087,1,17_1,8.5,8-Nov
FNN_H6,2,22.64,4,5.1709,6.7396,5.2135,1,18_1,8.5,8-Nov
FNN_H7,1,23.29,4,5.2147,6.7912,5.2093,2,01_2,8,8-Nov
FNN_H7,2,23.29,4,5.2147,6.7877,5.2066,2,02_2,8,8-Nov
FNN_P4,1,24,4,5.2634,6.8755,5.2252,1,19_1,8,8-Nov
FNN_P4,2,24,4,5.2634,6.8952,5.2401,1,20_1,8,8-Nov
FNN_P5,1,23.45,4,5.2252,6.8324,5.2303,4,27_4,8.5,14-Nov
FNN_P5,2,23.45,4,5.2252,6.821,5.2216,4,28_4,9,14-Nov
FNN_P6,1,24.1,4,5.2703,6.9861,5.3022,1,09_1,9.5,8-Nov
FNN_P6,2,24.1,4,5.2703,6.9467,5.2723,1,10_1,9.5,8-Nov
FNN_P7,1,23.74,4,5.2451,6.8807,5.2473,2,07_2,9,8-Nov
FNN_P7,2,23.74,4,5.2451,6.8999,5.2619,2,08_2,9,8-Nov
SCN_H1,1,27.4,4,5.5099,7.5481,5.4797,2,09_2,9.5,8-Nov
SCN_H1,2,27.4,4,5.5099,7.5512,5.4819,2,10_2,9.5,8-Nov
SCN_H7,1,21.7,4,5.1083,6.4888,5.081,5,41_5,8,17-Nov
SCN_H7,2,21.7,4,5.1083,6.5045,5.0933,5,42_5,8.5,17-Nov
SCN_P1,1,23.85,4,5.2526,6.9441,5.2881,2,23_2,8,8-Nov
SCN_P1,2,23.85,4,5.2526,6.9776,5.3136,2,24_2,8,8-Nov
SCN_P7,1,22.78,4,5.1803,6.7244,5.1923,1,41_1,8.5,8-Nov
SCN_P7,2,22.78,4,5.1803,6.7184,5.1877,1,42_1,8.5,8-Nov
UPH_H2,1,23.15,4,5.2052,6.7497,5.1869,5,31_5,8.5,17-Nov
UPH_H2,2,23.15,4,5.2052,6.7914,5.2189,5,32_5,8.5,17-Nov
UPH_H3,1,21.6,4,5.1024,6.4633,5.0669,3,31_3,8.5,14-Nov
UPH_H3,2,21.6,4,5.1024,6.4458,5.0532,3,32_3,8.5,14-Nov
UPH_H6,1,22.05,4,5.1317,6.6376,5.1738,1,01_1,8,8-Nov
UPH_H6,2,22.05,4,5.1317,6.6793,5.2063,1,02_1,8,8-Nov
UPH_H8,1,22.98,4,5.1935,6.759,5.2057,2,27_2,9,8-Nov
UPH_H8,2,22.98,4,5.1935,6.7195,5.1753,2,28_2,9,8-Nov
UPH_P1,1,23.79,4,5.2484,6.9139,5.2693,3,37_3,9,14-Nov
UPH_P1,2,23.79,4,5.2484,6.8874,5.2491,3,38_3,8.5,14-Nov
UPH_P3,1,24.3,4,5.284,7.0227,5.3162,3,43_3,9,14-Nov
UPH_P3,2,24.3,4,5.284,7.0381,5.3279,3,44_3,9,14-Nov
UPH_P7,1,26.06,4,5.4096,7.3747,5.453,3,15_3,9,14-Nov
UPH_P7,2,26.06,4,5.4096,7.3612,5.4431,3,16_3,9.5,14-Nov
UPH_P8,1,24.07,4,5.2678,6.9993,5.3147,4,05_4,9,14-Nov
UPH_P8,2,24.07,4,5.2678,6.956,5.2819,4,06_4,9,14-Nov
UPH_V1,1,23.22,4,5.2099,6.8354,5.248,3,41_3,8.5,14-Nov
UPH_V1,2,23.22,4,5.2099,6.7567,5.1876,3,42_3,8.5,14-Nov
UPH_V2,1,22.38,4,5.1534,6.6446,5.1574,3,13_3,8.5,14-Nov
UPH_V2,2,22.38,4,5.1534,6.5839,5.1103,3,14_3,9.5,14-Nov
UPH_V3,1,21.83,4,5.1169,6.6353,5.1869,2,31_2,9,8-Nov
UPH_V3,2,21.83,4,5.1169,6.6328,5.185,2,32_2,9,8-Nov
UPH_V4,1,24.17,4,5.275,6.8879,5.2231,1,05_1,9,8-Nov
UPH_V4,2,24.17,4,5.275,6.9544,5.2735,1,06_1,9,8-Nov
UPH_V5,1,22.09,4,5.1338,6.6547,5.185,3,47_3,8.5,14-Nov
UPH_V5,2,22.09,4,5.1338,6.6632,5.1916,3,48_3,8.5,14-Nov
UPH_V6,1,24.08,4,5.2689,6.9156,5.2501,2,15_2,8.5,8-Nov
UPH_V6,2,24.08,4,5.2689,6.9406,5.2691,2,16_2,8.5,8-Nov
UPH_V7,1,23.16,4,5.2053,6.7365,5.1766,5,25_5,9,17-Nov
UPH_V7,2,23.16,4,5.2053,6.7908,5.2184,5,26_6,9,17-Nov
UPH_V8,1,21.31,4,5.0834,6.4862,5.1038,2,11_2,9,8-Nov
UPH_V8,2,21.31,4,5.0834,6.4986,5.1136,2,12_2,9,8-Nov