,unique.id,CO2CperHourperg
1,01_1,2.342524037
2,01_2,2.238078874
161,01_5,2.586976785
3,02_1,2.182637241
4,02_2,2.16332226
163,02_5,2.326548188
86,03_4,2.16980053
88,04_4,2.21908629
90,05_4,2.356671328
170,05_6,2.405476192
92,06_4,2.471103835
172,06_6,2.466881518
14,07_2,2.820062393
93,07_3,2.560212713
173,07_5,3.452238402
16,08_2,2.705192644
95,08_3,2.557054392
175,08_5,2.738218319
17,09_1,2.288429595
18,09_2,3.158185726
19,10_1,2.692159483
20,10_2,2.735315205
182,11_6,2.941210745
184,12_6,2.910653425
109,15_3,2.807370338
111,16_3,2.260048792
33,17_1,2.248264531
193,17_5,2.560311301
35,18_1,2.604995427
195,18_5,2.377751018
37,19_1,2.265175204
39,20_1,2.505686974
46,23_2,2.277865454
48,24_2,2.229812269
50,25_2,3.168122014
129,25_3,2.59966403
52,26_2,3.299187297
131,26_3,2.150758862
54,27_2,2.177562567
133,27_3,2.67664802
134,27_4,2.213709724
56,28_2,2.254307515
135,28_3,2.308230836
136,28_4,2.56113909
141,31_3,1.850368926
221,31_5,1.947326079
143,32_3,2.043545046
223,32_5,2.277211248
225,33_5,2.823882854
226,34_5,2.532264459
149,37_3,1.98535763
150,38_3,2.225150473
73,41_1,2.546359146
233,41_5,3.451885629
74,42_1,2.393457578
234,42_5,2.822439049
75,43_1,2.24137906
155,43_3,2.235472684
76,44_1,2.286788285
156,44_3,3.292747213
157,45_3,2.886902709
158,46_3,2.514809828
79,47_1,2.196614308
80,48_1,2.102907289